
State,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01
11001,1190,1134,1174,1261,1326,1395,1432,1482,1757,1965,1939,1717,1476,1445,1499,1581,1649,1845,1809,1709,2019,2184,2055,1667,1371,1358,1478,1550,1787,1948,1884,1824,1988,2195,2113,1797,1547,1490,1568,1709,1735,1770,1776,1722,1941,2061,1978,1699,1586,1655,1879,2138,2304,2419,2349,2270,2512,2682,2617,2321,2132,2179,2474,2836,3072,3043,2844,2703,2984,3035,2882,2387
AK,2273,2191,2187,2278,2434,2518,2458,2378,2233,2030,1790,1564,1315,1218,1171,1221,1312,1490,1715,1850,1757,1552,1251,1047,840,737,765,912,1145,1452,1813,1767,1595,1484,1367,1173,1008,930,943,1005,1075,1224,1523,1645,1684,1559,1482,1315,1159,1089,1101,1177,1395,1705,1893,2035,2012,1844,1640,1439,1262,1218,1307,1342,1559,1809,1970,2020,2033,1906,1700,1417
AL,17550,17274,16929,16995,16305,14977,13878,13180,12406,12077,11683,11090,9939,8619,8045,7653,7224,7407,8488,9247,9143,8997,8492,7925,6947,6505,6578,6952,8171,9627,11163,11733,11864,12433,12826,12409,11630,11092,10925,10987,11204,11579,12259,12783,13604,14579,15056,14724,13969,14090,14587,15072,15776,16557,17376,18136,18785,19329,19272,18468,17735,17956,18415,19144,19709,20298,20698,20803,20765,20864,20734,19808
AR,11248,10950,10761,10594,9817,9015,8459,7722,7260,7019,6612,6241,5528,4801,4538,4345,4228,4566,5156,5560,5672,5596,5219,4842,4289,3976,3945,4055,4691,5348,6530,6928,7041,7427,7897,7552,7010,6730,6681,6720,6853,7140,7512,7879,8375,8940,8998,9000,8530,8286,8459,8766,9144,9586,10029,10559,10868,11043,11226,10745,10191,10304,10613,11214,11714,12356,12652,12888,13192,13315,13362,12943
AZ,18560,17451,17144,20068,18861,14614,12457,11691,11582,11711,11120,9531,8079,6674,6421,6821,7085,7978,9232,9907,10349,10631,10296,9220,7980,6826,6765,7686,11135,15372,20621,23182,23725,25185,24771,21639,19785,18317,16905,15448,14594,14137,13894,14544,15422,17563,19101,18811,18084,18606,20461,22390,24558,21737,21342,21152,21893,24094,25223,23703,24365,26173,28031,30084,31224,30401,29089,27384,27635,29651,29764,27473
CA,51831,51455,52489,54869,57818,54730,50226,47061,47014,47793,44523,36847,30995,29404,29422,30689,32106,34887,39163,40208,40067,39135,33635,26612,22698,23715,26338,29492,40426,48883,59196,59973,58145,58449,56046,46827,40126,36953,34821,33489,35289,37531,39845,41612,43688,45905,46119,40314,36174,36326,38622,42968,48586,53171,57148,58649,61215,61937,60379,50412,47924,52144,57759,64963,73160,76737,77994,76629,74140,70636,66253,56034
CO,15193,14312,15360,16367,18163,19181,18358,17300,15916,14298,12042,10069,8549,7935,7815,7719,8117,9578,11094,11545,11481,10819,8904,8516,5898,5912,6411,7382,10316,13367,17129,18029,17943,17871,16804,14061,12224,11293,11316,12189,13246,15049,16782,17661,18186,17901,17071,14668,12893,12958,14068,16029,18446,21793,23738,24593,25121,24977,23063,19184,17850,18634,20887,24093,27873,31038,32276,31894,31060,29824,27152,22761
CT,11738,11584,11797,11264,10818,10225,9742,9173,9044,8959,8116,7041,5748,4878,4832,5150,5627,6383,7177,7372,7136,6779,5679,4670,3757,3335,3414,3821,4712,5341,5922,5708,5523,5523,5162,4305,3607,3323,3266,3465,3729,3932,3920,3943,4182,4300,4233,3529,3167,3071,3158,3432,3808,4266,4480,4585,4952,4956,4610,3677,3271,3140,3426,3825,4524,4872,5120,5109,5321,5327,4849,3928
DE,3613,3590,3614,3498,3425,3168,2813,2561,2351,2203,2059,1886,1588,1436,1361,1371,1356,1584,1731,1734,1775,1792,1625,1461,1263,1276,1335,1347,1639,1764,1986,2021,2011,2160,2186,1977,1782,1692,1688,1691,1741,1826,1888,1889,2013,2087,2134,2044,1916,1933,2014,2125,2228,2369,2382,2455,2575,2676,2687,2503,2374,2451,2606,2852,2981,3047,3012,3066,3128,3171,3025,2649
FL,129170,129210,129064,129972,125101,114937,106592,100556,95404,93553,91402,86812,77534,66242,56290,50741,47360,47829,51689,53233,53143,52088,48959,45302,39961,35586,35653,38096,47510,58237,73645,80072,81829,84324,89633,89502,87717,86380,83981,82354,80912,81676,83090,84883,90722,99874,109378,113490,118163,125963,131880,135259,137536,140080,141334,140873,143944,145659,151957,153052,157221,168717,177006,182589,181822,178636,174584,166558,161916,162079,163076,160877
